,Test,Die,VDD (V),,Freq (GHz),Comp. level (dB),Pin_comp(dBm),Pout_comp (dBm),Linear Gain,Id (mA),,,,,,,,,,,,,,,,
693862,PDB2,AD36,5,#,2,1,-1.13,14.71,16.84,61.582,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,6,1,-1.09,14.53,16.63,61.39,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,8,1,-1.88,14.04,16.93,60.051,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,12,1,-6.03,11.62,18.66,59.078,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,0.5,3,3.82,17.18,16.35,63.609,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,2,3,2.66,16.5,16.84,63.801,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,6,3,3.05,16.68,16.63,64.084,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,8,3,2.7,16.64,16.93,61.189,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,12,3,-1.3,14.35,18.66,59.739,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,0.5,1,0.67,15.99,16.31,63.946,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,2,1,-0.34,15.45,16.8,63.101,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,6,1,-0.21,15.38,16.6,62.834,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,8,1,-0.85,15.08,16.93,61.109,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,12,1,-5,12.65,18.65,59.58,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,0.5,3,4.48,17.79,16.31,66.764,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,2,3,3.28,17.09,16.8,66.664,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,6,3,3.59,17.19,16.6,66.301,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,8,3,3.3,17.24,16.93,63.117,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD37,5,#,12,3,-0.38,15.26,18.65,60.972,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,0.5,1,0.55,15.93,16.38,63.989,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,2,1,-0.45,15.41,16.87,63.281,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,6,1,-0.28,15.39,16.67,63.09,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,8,1,-0.99,15.02,17.01,61.361,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,12,1,-5.21,12.55,18.77,59.983,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,0.5,3,4.39,17.78,16.38,66.709,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,2,3,3.2,17.07,16.87,66.65,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,6,3,3.52,17.2,16.67,66.325,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,8,3,3.21,17.23,17.01,63.145,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD38,5,#,12,3,-0.58,15.18,18.77,61.193,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,0.5,1,0.65,16.02,16.36,64.16,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,2,1,-0.39,15.42,16.82,63.296,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,6,1,-0.29,15.34,16.63,62.994,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
