,Test,Die,VDD (V),,,,,,,VG1 (V),IDD (A),,,,,,,,,,,,,,,
693862,TCC2,L25,5,#,#,#,#,#,#,-0.4165625,0.05811,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L26,5,#,#,#,#,#,#,-0.413125,0.05784,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L27,5,#,#,#,#,#,#,-0.4096875,0.05814,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L28,5,#,#,#,#,#,#,-0.413125,0.05761,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L29,5,#,#,#,#,#,#,-0.40625,0.05758,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L30,5,#,#,#,#,#,#,-0.40625,0.05837,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L35,5,#,#,#,#,#,#,-0.399375,0.05776,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L36,5,#,#,#,#,#,#,-0.4028125,0.05786,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L37,5,#,#,#,#,#,#,-0.399375,0.05755,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L38,5,#,#,#,#,#,#,-0.3959375,0.05803,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L39,5,#,#,#,#,#,#,-0.3890625,0.05803,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L40,5,#,#,#,#,#,#,-0.3959375,0.05794,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L45,5,#,#,#,#,#,#,-0.385625,0.05786,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L46,5,#,#,#,#,#,#,-0.3925,0.05743,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L47,5,#,#,#,#,#,#,-0.3821875,0.05819,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L48,5,#,#,#,#,#,#,-0.385625,0.05799,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L49,5,#,#,#,#,#,#,-0.3753125,0.05818,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L50,5,#,#,#,#,#,#,-0.37875,0.0583,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R10,5,#,#,#,#,#,#,-0.4509375,0.05804,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
