,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
3,124,Terrence Ross,SG,ORL,81,26.5,1.06,-0.65,0.41,4.74,http://www.espn.com/nba/player/gamelog/_/id/6619/terrence-ross
4,125,Eric Gordon,SG,HOU,68,31.7,1.71,-1.31,0.40,4.75,http://www.espn.com/nba/player/gamelog/_/id/3431/eric-gordon
5,126,Montrezl Harrell,PF,LAC,82,26.3,0.89,-0.50,0.39,4.85,http://www.espn.com/nba/player/gamelog/_/id/2991055/montrezl-harrell
6,127,Brad Wanamaker,PG,BOS,36,9.5,-0.64,1.02,0.38,0.79,http://www.espn.com/nba/player/gamelog/_/id/6507/brad-wanamaker
7,128,Landry Shamet,PG,LAC/PHI,79,22.8,1.98,-1.60,0.38,3.92,http://www.espn.com/nba/player/gamelog/_/id/3914044/landry-shamet
8,129,Gary Harris,SG,DEN,57,28.8,-0.61,0.96,0.35,3.57,http://www.espn.com/nba/player/gamelog/_/id/2999547/gary-harris
9,130,Ekpe Udoh,C,UTAH,51,6.3,-1.01,1.32,0.31,0.73,http://www.espn.com/nba/player/gamelog/_/id/4261/ekpe-udoh
10,131,Langston Galloway,SG,DET,80,21.8,2.40,-2.10,0.30,3.63,http://www.espn.com/nba/player/gamelog/_/id/2530572/langston-galloway
11,132,Omri Casspi,F,MEM,36,14.4,-0.91,1.20,0.29,1.15,http://www.espn.com/nba/player/gamelog/_/id/3554/omri-casspi
12,133,DeMar DeRozan,SG,SA,77,34.9,0.72,-0.43,0.29,5.74,http://www.espn.com/nba/player/gamelog/_/id/3978/demar-derozan
13,134,Reggie Jackson,PG,DET,82,27.9,1.34,-1.05,0.29,4.71,http://www.espn.com/nba/player/gamelog/_/id/6443/reggie-jackson
14,135,Bojan Bogdanovic,SF,IND,81,31.8,1.20,-0.95,0.25,5.38,http://www.espn.com/nba/player/gamelog/_/id/3593/bojan-bogdanovic
15,136,Raul Neto,PG,UTAH,37,12.8,0.29,-0.06,0.23,1.03,http://www.espn.com/nba/player/gamelog/_/id/2968361/raul-neto
16,137,Meyers Leonard,PF,POR,61,14.4,1.08,-0.88,0.20,1.72,http://www.espn.com/nba/player/gamelog/_/id/6605/meyers-leonard
17,138,Cody Zeller,C,CHA,49,25.4,-1.08,1.25,0.17,2.64,http://www.espn.com/nba/player/gamelog/_/id/2579258/cody-zeller
18,139,Pat Connaughton,SG,MIL,61,20.7,0.38,-0.22,0.16,2.71,http://www.espn.com/nba/player/gamelog/_/id/2578239/pat-connaughton
19,140,Zaza Pachulia,C,DET,68,12.9,-2.97,3.12,0.15,1.74,http://www.espn.com/nba/player/gamelog/_/id/2016/zaza-pachulia
20,141,Patty Mills,PG,SA,82,23.3,2.12,-1.98,0.14,3.99,http://www.espn.com/nba/player/gamelog/_/id/4004/patty-mills
21,142,Julius Randle,C,NO,73,30.6,1.50,-1.38,0.12,4.74,http://www.espn.com/nba/player/gamelog/_/id/3064514/julius-randle
22,143,Alex Len,C,ATL,77,20.1,-0.69,0.80,0.11,3.34,http://www.espn.com/nba/player/gamelog/_/id/2596107/alex-len
